Név	Termék megnevezése	Dátum	Hányadik terméke ez?	Nettó alapár	Kedvezmény (%)	Kedvezmény (Ft)	Nettó kedvezményes ár	ÁFA mértéke (Ft)	Bruttó ár (fizetendő)		ÁFA-kulcs	27%
Zoli	Focilabda	2024.09.12	1	2490								
Anna	Futónadrág	2024.09.13	1	4990								
Feri	Pingpong szett	2024.09.17	1	7990								
Zoli	Síruha (overál)	2024.09.19	2	14990								
Laci	Teniszütő	2024.09.20	1	11990								
Kata	Baseballütő	2024.09.21	1	7315								
Misi	Kosárlabda	2024.09.21	1	9990								
Kata	Biciklis sisak	2024.09.22	2	6490								
Kata	Úszószemüveg	2024.09.23	3	7190								
Anna	Futócipő	2024.09.23	2	11990								
Feri	Búvármaszk	2024.09.24	2	9490								
Misi	Túrabakancs	2024.09.25	2	14990								
Tomi	Sátor	2024.09.27	1	18990								
Feri	Hátizsák	2024.09.27	3	14990								
Laci	Focicipő	2024.09.29	2	7990								
Anna	Tollasütő	2024.09.30	3	9990								
Zoli	Gördeszka	2024.10.04	3	17999								
Misi	Roller	2024.10.05	3	18900								
Kata	Fallabda ütő	2024.10.06	4	10990								
Kata	Görkorcsolya	2024.10.06	5	19990								
												
												
Gyerekek száma:												
Ennyien vettek legalább három terméket:												
Termékek száma:												
Teljes kifizetett összeg:												
Teljes kedvezmény:												
A termékek átlagos nettó alapára:												
Az első és az utolsó vásárlás között eltelt napok száma:												
A legdrágább termék nettó alapára:												
A második legnagyobb kedvezmény (Ft):												
A harmadik legkisebb fizetendő ár:												
